Zn %,Fe%,Cu %,Mn %,B %,S %,N,P,K,temperature,humidity,ph,rainfall,label
76.94,100,82.11,93.97,0,21.77,67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice
67.3,98.07,86.61,87.35,100,39.16,83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice
48.09,99.49,91.15,75.37,,69.45,98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice
50,100,50,100,0,0,66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,rice
100,100,100,90.91,,100,97,59,43,26.35927159,84.04403589,6.286500176,271.3586137,rice
63.77,91.62,84.68,50.74,0,15.61,97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice
100,100,100,100,0,100,60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,rice
84,100,90.67,65.88,,100,84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice
45.23,99.84,91.82,66.12,100,96.44,73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice
41.8,100,60.58,53.48,,0.26,92,35,40,22.17931888,80.33127223,6.357389366,200.0882787,rice
93.44,100,80.33,91.26,,1.64,85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,rice
43.52,97.98,89.57,76.11,,69.94,98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,rice
65.1,98.14,99.63,90.41,2.99,88.56,88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,rice
89.47,97.73,99.66,95.84,29.56,85.47,95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice
93.58,99.98,99.55,99.47,0.92,98.41,99,57,35,26.75754171,81.17734011,5.960370061,272.2999056,rice
99.79,99.53,99.96,87.64,0.92,99.63,95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,rice
89.85,99.55,99.98,99.59,0.06,99.59,60,43,44,21.01944696,82.95221726,7.416245107,298.4018471,rice
99.9,99.95,98.94,90.71,3.42,98.22,63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,rice
99.96,99.91,100,93.21,1.65,99.78,62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,rice
85.73,99.41,99.24,98.64,7.77,96.98,64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice
99.7,99.49,99.94,87.86,3.99,98.04,83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice
98.36,99.98,99.98,99.17,0.06,99.86,82,40,40,23.83067496,84.81360127,6.271478838,298.5601175,rice
97.05,98.14,99.88,90.46,4.51,99.04,85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,rice
100,100,100,100,0,100,91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,rice
71.28,99.6,99.97,99.68,1.41,96.49,76,49,42,24.958779,84.47963372,5.206373153,196.9560008,rice
97.42,99.91,99.98,99.77,0.48,99.52,74,39,38,23.24113501,84.59201843,7.782051313,233.0453455,rice
97,99.99,100,99.91,0,99.99,79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,rice
98.32,84,56.33,97.57,61.09,97.49,88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,rice
97.6,99.96,99.99,99.38,1.97,99.22,60,36,43,23.43121862,83.06310136,5.286203711,219.9048349,rice
64.95,99.04,99.56,83.13,0.32,99.74,76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,rice
99.88,99.97,100,99.94,0.15,99.94,93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice
96,99.57,99.86,99.62,3.86,93.62,65,60,43,21.97199397,81.89918197,5.658169482,227.3637009,rice
98.64,99.78,99.95,99.24,0.08,99.88,95,52,36,26.22916897,83.83625819,5.543360238,286.5083725,rice
98.82,99.79,99.97,92.38,0.89,98.5,75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,rice
94.14,97.49,97.61,89.17,7.87,88.81,74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,rice
52.57,99.89,100,93.19,0.17,98.34,91,36,45,24.44345477,82.45432595,5.950647577,267.9761948,rice
88.15,99.68,99.1,96.26,0.39,96.56,71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,rice
99.68,99.69,98.98,88.74,4.43,99.8,99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,rice
90.4,99.98,100,99.91,0.23,99.88,72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,rice
98.84,99.52,99.94,90.47,1.91,98.39,83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,rice
99.85,99.9,99.97,95.47,0.08,99.92,93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,rice
98.55,99.96,100,99.71,0.04,99.96,70,36,42,21.84106875,80.72886384,6.946209881,202.3838319,rice
99.93,99.9,99.97,89.28,0.77,99.9,76,47,42,20.08369642,83.29114712,5.739175027,263.6372176,rice
85.04,99.95,99.88,99.12,2.42,98.74,99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,rice
87.7,89.78,90.04,89.83,0.02,35.91,99,54,37,21.14347496,80.33502926,5.594819626,198.6730942,rice
69.61,77.58,78.21,77.69,0.12,3.92,86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,rice
98.48,98.59,99,98.54,0.43,0.37,69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,rice
0.09,0.12,0.12,0.09,0.15,0.03,91,56,37,23.43191632,80.56887849,6.363472208,269.5039162,rice
86.9,86.13,87.39,87.07,0.03,23.12,61,52,41,24.97669518,83.891805,6.880431223,204.8001847,rice
0.15,0,0.17,0.16,0.16,0.16,67,45,38,22.72791041,82.1706881,7.300410836,260.8875056,rice
95.72,93.84,99.26,97.19,1.79,2.25,79,42,37,24.87300744,82.84022551,6.587918708,295.6094492,rice
0,0.04,0.07,0.07,0.07,0.07,78,43,42,21.32376327,83.00320459,7.283736617,192.3197536,rice
96.83,97.1,98.13,95.52,2.8,19.4,75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,rice
99.71,99.51,99.75,99.65,2.28,2.86,97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,rice
58.95,94.74,100,96.84,64.21,84.21,67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,rice
95.22,88.07,99.28,98.27,0.85,0.21,73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,rice
91.22,97.13,99.18,96.17,2.68,0.03,77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,rice
50,50,100,100,0,50,81,41,38,22.67846116,83.72874389,7.524080076,200.9133156,rice
94.15,92.85,94.45,94,0.3,5.18,68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice
34.38,32.81,96.88,35.09,91.07,39.29,72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,rice
69.11,99.59,95.93,83.27,54.07,11.79,61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,rice
3.04,4.22,6.39,6.94,3.12,7.04,67,43,39,26.04371967,84.96907151,5.999969026,186.7536773,rice
26.42,53.34,55.18,53.72,0.12,8.44,67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,rice
96.86,92.36,98.37,94.68,7.96,14.22,66,60,38,22.08576562,83.47038318,6.372576327,231.7364957,rice
6.43,5.85,6.45,6.43,0.03,0.03,82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,rice
83.3,95.18,99.34,92.08,0.15,0.21,84,50,44,25.48591986,81.40633547,5.935344406,182.6549356,rice
17.52,23.06,31.45,18.84,6.11,24.58,81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,rice
97.25,98.45,99.66,99.38,0.41,0.52,91,50,40,20.82477109,84.1341879,6.462391607,230.2242223,rice
66,80.76,81.41,72.56,0.37,0.16,93,53,38,26.92995077,81.91411159,7.069172227,290.6793783,rice
83.1,87.06,94.84,85.05,4.08,5.63,90,44,38,23.83509503,83.88387074,7.473134377,241.2013513,rice
7.11,8.13,8.91,7.72,0.54,6.46,81,45,35,26.52872817,80.12267476,6.158376967,218.9163567,rice
35.58,97.87,98.07,83.59,0.84,0.63,78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,rice
1.05,2.19,2.34,2.2,1.86,1.62,60,51,36,22.69657794,82.81088865,6.028321558,256.9964761,rice
0.13,0.32,0.34,0.28,0.18,5.96,88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,rice
3.67,4.28,4.34,4.26,2.23,24.84,93,47,37,21.53346343,82.14004101,6.500343222,295.9248796,rice
93.31,94.77,98.84,99.71,74.13,94.19,60,55,45,21.40865769,83.3293191,5.935745417,287.5766935,rice
0.25,0.27,0.5,0.43,0.21,0.14,78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,rice
0.11,0.23,0,0.11,0.23,0.11,65,37,40,23.35905428,83.59512273,5.333322606,188.413665,rice
98.35,99.85,99.9,99.9,0.83,0.93,90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,rice
34.69,53.06,97.96,63.83,57.14,91.84,85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice
53.92,49.26,98.28,61.1,67.89,88.48,60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice
0.11,0.12,0.3,0.17,0.18,0.27,74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice
38.63,96.84,99.18,97.14,52.95,44.16,78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice
31.23,78.04,99.61,96.29,49.84,89.06,69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice
88.95,98.74,99.88,97.88,82.22,96.2,69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice
36.75,90.97,92.5,95.56,21.93,18.83,94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,rice
93.23,91.06,99.9,98.57,62.25,36.95,89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,rice
97.25,96.47,98.79,90.82,88.09,94.71,68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice
74.54,96.48,98.45,93.32,86.97,88.01,91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice
39.61,89.64,92.59,95.23,88.53,47.49,90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice
64.33,98.73,99.75,99.32,69.54,26.57,78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice
68.84,84.13,99.58,97.55,63.75,54.74,93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice
53.4,89.19,94.29,95.76,80.07,55.91,94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice
39.6,82.05,95.02,94.06,48.95,88.32,60,48,39,24.28209415,80.30025587,7.042299069,231.0863347,rice
31.08,64.91,93.67,91.81,74.86,39.35,85,38,41,21.58711777,82.7883708,6.249050656,276.6552459,rice
74.1,95.05,99.22,95.23,99.35,18.39,91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice
12.1,98.47,99.09,99.21,57.79,95.51,77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,rice
32.36,80.06,59.83,85.38,39.43,88.4,88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,rice
16.74,87.46,96.15,92.08,84.69,38.97,89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice
76.44,98.07,95.98,98.87,95.73,58.62,76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice
77.75,98.64,99.74,99.7,94.72,60.79,67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice
75.27,83.78,98.42,98.03,95.78,74.73,83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice
54.34,91.47,90.01,94.74,66.24,90.13,98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice
67.77,99.22,98.38,98.72,97.08,35.89,66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,rice
65.03,98.28,99.73,99.71,78.16,83.21,97,59,43,26.35927159,84.04403589,6.286500176,271.3586137,rice
52.85,77,90.06,97.27,51.48,75.2,97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice
7.7,68.53,76.32,96.92,8.42,7.08,60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,rice
72.95,98.58,99.57,99.76,95.55,99.07,84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice
50.76,82.93,95.11,99.05,72.22,83.18,73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice
65.2,99.51,100,94.79,29.02,57.75,92,35,40,22.17931888,80.33127223,6.357389366,200.0882787,rice
85.02,99.66,97.98,98.98,45.9,20.9,85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,rice
72.52,82.68,95.38,94.01,40.49,86.34,98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,rice
62.5,55.13,88.42,88.35,38.23,83.34,88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,rice
63.79,72.95,98.15,98.04,59.01,87.92,95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice
74.36,78.64,97.76,98.59,67,72.19,99,57,35,26.75754171,81.17734011,5.960370061,272.2999056,rice
83.48,67.8,95.33,99.7,68.68,86.04,95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,rice
62.44,81.53,93.67,99.64,63.43,71.56,60,43,44,21.01944696,82.95221726,7.416245107,298.4018471,rice
51.38,57.63,91.79,96.95,30.24,70.07,63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,rice
14.98,90.56,95.68,98.81,36.05,98.14,62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,rice
78.63,94.98,96.66,99.27,72.01,78.75,64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice
47.54,73.8,99.31,95.87,76.24,60.87,83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice
97.32,99.47,97.86,100,86.35,64.12,82,40,40,23.83067496,84.81360127,6.271478838,298.5601175,rice
80.37,94.15,97.22,95.82,39.38,93.75,85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,rice
91.68,93.95,98.05,99.86,94.66,61,91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,rice
38.62,89.98,80.32,80.85,26.04,91.23,76,49,42,24.958779,84.47963372,5.206373153,196.9560008,rice
70.47,90.2,98.82,93.64,40.45,85.63,74,39,38,23.24113501,84.59201843,7.782051313,233.0453455,rice
30.26,61.46,77.23,74.79,2.1,99.58,79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,rice
66.26,44.82,86.88,75.77,1.66,97.09,88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,rice
65.87,81.8,94.29,99.74,61.5,40.66,60,36,43,23.43121862,83.06310136,5.286203711,219.9048349,rice
95.36,62.78,99.04,99.54,24.49,98.45,76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,rice
56.48,95.8,98.79,99.88,90.33,55.8,93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice
92.07,70.59,91.52,99.97,13.14,49.62,65,60,43,21.97199397,81.89918197,5.658169482,227.3637009,rice
66.12,93.77,99.72,99.75,88.52,85.75,95,52,36,26.22916897,83.83625819,5.543360238,286.5083725,rice
80.39,90.45,96.39,98.72,77.48,69.29,75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,rice
45.49,81.67,84.29,99.76,78.73,19.63,74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,rice
90.69,63.28,98.07,99.45,79.44,67.87,91,36,45,24.44345477,82.45432595,5.950647577,267.9761948,rice
44.1,29.26,90.14,57.15,34.19,74.87,71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,rice
52.45,64.98,94.49,98.94,10.34,67.24,99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,rice
82.52,90.19,90.92,99.61,59.09,88.17,72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,rice
81.17,85.54,98.07,99.59,41.85,89.64,83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,rice
82.03,56.06,92.83,96.52,19.64,89.99,93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,rice
75.53,85.34,95.91,100,55.94,85.13,70,36,42,21.84106875,80.72886384,6.946209881,202.3838319,rice
66.5,91.05,96.94,99.21,92.01,80.05,76,47,42,20.08369642,83.29114712,5.739175027,263.6372176,rice
57.58,97.85,92.41,99.13,73.1,87.79,99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,rice
72.88,77.74,93.46,30.2,65.71,76.54,99,54,37,21.14347496,80.33502926,5.594819626,198.6730942,rice
45.72,43.1,93,44.05,56.88,89.85,86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,rice
98.14,97.29,100,98.96,100,99.91,69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,rice
66.22,32.78,94.65,37.76,68.55,89.88,91,56,37,23.43191632,80.56887849,6.363472208,269.5039162,rice
78.53,78.73,94.55,74.95,36.91,94.29,61,52,41,24.97669518,83.891805,6.880431223,204.8001847,rice
69.12,43.55,97.54,70.92,70.44,97.31,67,45,38,22.72791041,82.1706881,7.300410836,260.8875056,rice
59.61,60.73,93.92,60.81,40.16,90.49,79,42,37,24.87300744,82.84022551,6.587918708,295.6094492,rice
72.28,82.34,98.8,67.59,42.83,91.78,78,43,42,21.32376327,83.00320459,7.283736617,192.3197536,rice
61.93,58.42,98.94,26.62,52,88.85,75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,rice
89.55,85.35,98.13,72.54,59.71,95.61,97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,rice
86.17,85.56,98.45,59.29,65.96,91.62,67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,rice
68.6,32.14,95.04,82.33,47.59,83.19,73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,rice
79.35,73.38,93.67,75.53,93.94,88.05,77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,rice
59.97,59.86,96.86,50.48,54.75,88.34,81,41,38,22.67846116,83.72874389,7.524080076,200.9133156,rice
93.87,95.04,99.23,80.65,34.54,97.1,68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice
69.93,83.33,98.96,65.86,66.15,96.68,72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,rice
78.99,71.13,94.85,72.25,57.65,96.02,61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,rice
43.19,62.44,93.61,57.42,47.85,84.81,67,43,39,26.04371967,84.96907151,5.999969026,186.7536773,rice
69.43,41.44,94.54,54.04,69.78,94.47,67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,rice
82.77,37.68,98.02,35.38,34.42,98.74,66,60,38,22.08576562,83.47038318,6.372576327,231.7364957,rice
91.1,92.92,99,82.72,82.27,94.07,82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,rice
67.45,92.95,99.71,84.7,99.83,99.77,84,50,44,25.48591986,81.40633547,5.935344406,182.6549356,rice
96.97,87.88,100,100,100,66.67,81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,rice
92.8,86.04,90.88,89.18,96.23,87.97,91,50,40,20.82477109,84.1341879,6.462391607,230.2242223,rice
98.35,89.1,98.51,97.77,95.98,75.26,93,53,38,26.92995077,81.91411159,7.069172227,290.6793783,rice
93.49,71.97,99.89,64.48,100,99.23,90,44,38,23.83509503,83.88387074,7.473134377,241.2013513,rice
87.49,84.62,97.37,79.66,90.31,91.07,81,45,35,26.52872817,80.12267476,6.158376967,218.9163567,rice
92.09,88.79,99.06,75.76,97,91.71,78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,rice
83.11,99.64,98.42,75.93,17.5,98.3,60,51,36,22.69657794,82.81088865,6.028321558,256.9964761,rice
95.02,97.16,98.23,89.73,72.73,37.5,88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,rice
94.9,95.15,96.93,80.02,100,54.55,93,47,37,21.53346343,82.14004101,6.500343222,295.9248796,rice
75.69,94.88,96.61,47.35,77.78,99.81,60,55,45,21.40865769,83.3293191,5.935745417,287.5766935,rice
88.79,68.01,91.46,42.69,100,100,78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,rice
24.73,88.43,58.17,60.05,82.35,44.83,65,37,40,23.35905428,83.59512273,5.333322606,188.413665,rice
15.94,34.75,42.15,31.3,28.57,47.62,90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,rice
96.94,53.9,99.01,77.29,80,80,85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice
86.95,97.71,99.67,71.16,10.22,80.24,60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice
31.75,86.21,92.88,81.78,66.67,93.93,74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice
68.36,50.42,93.71,47.28,69.3,2.71,78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice
91.96,97.78,97.45,54.03,76.19,83.6,69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice
88.11,78.63,93.87,88.95,62.26,79.09,69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice
74.2,46.32,79.12,52.56,100,86.23,94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,rice
58.93,96.41,98.21,86.16,100,100,89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,rice
53.32,31.41,71.9,22.19,62.73,77.08,68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice
92.74,81.33,93.53,53.89,0.37,83.23,91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice
37.58,29.67,41.47,15.36,99.84,4.72,90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice
82.93,5.85,38.61,39.6,93.83,88.24,78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice
58.69,62.61,74.5,36.95,71.43,41.97,93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice
64.74,65.82,71.83,62.79,22.82,19.63,94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice
48.18,82.1,86.32,87.45,72.73,46.07,60,48,39,24.28209415,80.30025587,7.042299069,231.0863347,rice
65.88,98.72,97.01,89.94,93.7,94.93,85,38,41,21.58711777,82.7883708,6.249050656,276.6552459,rice
75.98,74.73,98.74,43.01,64.29,33.33,91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice
58.96,59.84,71.8,59.94,6.5,57.05,77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,rice
74.39,96.4,97.84,98.74,48.27,79.44,88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,rice
44.9,96.63,76.61,97.58,85.6,65.34,89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice
75,100,62.5,100,37.5,100,76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice
96.34,98.38,99.51,99.35,92.8,94.55,67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice
97.02,98.01,100,97.9,53.63,99.75,83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice
60.4,94.39,87.45,86.58,51.99,86.51,98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice
57.22,56.33,90.44,83.07,64.69,72.68,66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,rice
55.83,94.21,84.46,94.65,93.63,25.28,97,59,43,26.35927159,84.04403589,6.286500176,271.3586137,rice
97.19,98.56,99.01,85.86,93.4,89.53,97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice
84.1,96.9,97.17,93.77,69.01,70.85,60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,rice
100,100,100,100,100,81.98,84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice
57.43,96.26,98.46,98.93,57.69,82.54,73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice
84.78,97.34,96.89,99.67,61.45,85.11,92,35,40,22.17931888,80.33127223,6.357389366,200.0882787,rice
61.88,96.17,100,99.62,75.48,91.2,85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,rice
96.55,100,100,100,95.65,48.22,98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,rice
80.02,85.74,89.05,76.27,80.09,48.69,88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,rice
95.19,89.29,99.89,92.36,47.47,86.32,95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice
87.82,98.78,97.13,54.44,91.23,93.67,99,57,35,26.75754171,81.17734011,5.960370061,272.2999056,rice
71.99,98.81,93.51,99.77,70.3,78.51,95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,rice
100,100,100,100,100,100,60,43,44,21.01944696,82.95221726,7.416245107,298.4018471,rice
75.09,82.11,95.46,75.19,64.6,63.68,63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,rice
60.32,99.43,99.58,99.61,66.42,99.55,62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,rice
40.96,21.63,70.73,48.3,86.54,23.98,64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice
20.38,1.73,98.15,77.13,61.21,88.79,83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice
39.28,62.04,93.94,91.55,62.07,89.42,82,40,40,23.83067496,84.81360127,6.271478838,298.5601175,rice
33.07,39.84,82.56,85.25,12,30.49,85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,rice
37.52,22.77,95.97,60.9,14.94,31.95,91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,rice
38.86,40.15,86.26,88.01,12.03,27.68,76,49,42,24.958779,84.47963372,5.206373153,196.9560008,rice
50.05,30.85,95.26,80.29,23.55,4.02,74,39,38,23.24113501,84.59201843,7.782051313,233.0453455,rice
